89,84,87,37,86,94,8,76
76,15,56,12,12,49,6,2
85,1,88,100,47,22,55,91
95,88,11,36,17,44,14,93
20,74,46,70,55,13,43,44
30,90,58,40,18,11,51,85
22,48,36,58,37,71,95,42
40,81,83,86,54,52,63,93
41,2,48,83,61,67,81,81
17,27,41,92,29,64,90,40
69,73,13,52,80,63,84,34
75,41,90,58,91,46,33,48
33,34,31,38,54,55,58,50
16,53,45,61,86,23,23,40
62,73,82,3,5,23,78,21
11,50,57,53,83,80,27,92
39,22,21,42,27,82,2,25
44,72,30,79,83,15,78,22
74,88,89,35,65,10,30,57
85,26,73,22,74,28,3,90
20,70,95,20,84,64,45,97
89,38,19,72,13,12,68,78
55,51,50,50,60,12,90,83
35,9,42,79,12,55,54,23
43,59,4,39,58,63,98,32
9,22,70,18,43,18,76,41
26,64,54,21,41,89,70,36
23,16,81,32,62,72,76,87
91,60,3,73,65,79,74,33
85,64,88,52,93,26,38,12
31,52,9,44,96,77,54,48
9,68,92,100,37,28,92,11
25,82,97,73,55,15,68,31
27,5,39,66,45,14,98,83
91,38,62,48,88,14,55,30
21,33,45,52,77,87,85,40
33,68,27,87,87,1,67,60
65,71,6,74,71,43,29,32
2,69,10,47,9,44,69,17
44,16,41,59,13,95,64,15
67,12,24,49,95,60,29,89
60,100,50,7,64,19,42,66
96,55,55,56,61,1,39,85
43,90,85,29,46,41,98,16
17,67,96,91,19,32,77,7
9,79,16,16,24,65,63,56
13,53,33,78,85,51,99,80
69,68,4,34,61,60,3,10
24,92,66,62,72,39,43,14
95,32,93,72,99,57,28,75
71,16,49,48,100,70,30,10
74,94,27,61,88,6,9,79
65,45,53,49,75,44,72,26
8,19,33,92,9,30,54,16
83,39,24,89,63,84,70,56
22,6,15,7,70,72,9,44
18,56,14,4,70,19,94,19
42,47,29,14,98,64,61,9
60,81,82,30,63,65,61,31
88,48,68,76,95,23,63,12
63,11,43,71,73,60,61,76
76,41,33,32,6,35,71,24
48,22,95,25,12,88,95,95
65,67,42,78,17,10,66,6
97,3,89,96,46,4,71,49
90,65,33,51,76,47,54,49
92,17,50,84,48,43,46,55
56,14,44,68,5,85,29,45
69,43,24,51,38,53,46,82
70,48,13,1,52,3,5,52
41,48,68,6,99,100,91,51
26,58,22,86,48,47,59,66
45,46,64,19,58,90,20,79
75,66,91,12,31,53,41,29
76,70,84,33,63,61,38,44
52,38,3,69,32,18,69,70
69,68,75,71,32,30,79,100
64,68,15,38,88,31,40,3
5,20,48,83,100,87,26,47
27,43,89,17,49,86,32,15
75,44,49,95,61,48,85,68
100,2,95,75,68,1,17,88
57,32,50,53,20,14,9,47
80,76,27,68,83,58,57,47
7,62,51,78,58,98,38,70
57,44,84,8,39,48,78,13
53,55,7,44,50,98,12,25
54,27,90,69,73,77,24,7
84,43,79,72,88,78,30,36
63,30,61,66,22,93,92,18
88,76,87,41,86,21,92,58
57,49,72,45,82,61,54,43
27,91,5,24,42,40,40,35
62,48,6,22,57,79,39,67
54,100,46,39,74,26,1,71
39,45,83,99,71,72,46,32
59,69,5,16,22,96,15,29
13,34,37,31,87,91,68,9
8,84,17,58,95,29,92,59
33,83,78,92,72,90,37,49
49,62,17,57,29,4,59,28
98,91,56,35,37,30,100,96
35,40,70,8,31,36,45,3
29,6,55,91,38,18,37,27
82,89,71,9,67,40,93,68
44,73,50,55,18,1,4,42
70,89,88,95,87,29,70,97
70,85,44,100,11,99,26,82
29,82,40,25,9,52,97,5
60,26,18,88,33,40,57,17
20,47,6,22,91,21,69,78
80,39,76,30,73,14,15,15
36,39,53,51,77,35,15,16
21,19,57,37,94,11,58,38
25,20,50,34,27,77,39,33
82,21,67,51,80,42,57,77
75,67,40,22,23,98,41,100
68,69,42,46,32,18,78,3
35,96,99,62,64,51,66,80
23,98,79,98,9,18,17,8
95,98,44,91,42,26,58,69
31,16,35,23,48,90,46,75
90,61,52,15,56,19,18,46
63,47,37,28,1,11,36,18
76,100,68,81,1,45,81,9
58,7,72,8,95,83,53,86
13,39,42,46,7,90,25,91
86,58,81,89,17,36,98,7
48,62,14,88,24,82,67,53
76,92,50,72,82,22,22,32
22,63,32,8,34,59,85,53
100,70,80,73,33,34,93,39
63,37,50,28,73,30,63,95
96,58,79,83,17,22,41,53
14,18,98,1,14,100,73,98
24,10,48,96,43,75,30,13
17,6,83,91,3,95,38,28
71,42,52,81,12,7,30,72
71,35,88,47,3,100,76,12
39,48,15,40,62,2,93,57
66,16,39,37,23,34,82,54
73,13,96,28,99,9,100,82
74,42,37,82,47,87,68,33
21,59,11,29,31,18,86,79
58,22,12,95,1,74,70,94
7,1,41,28,6,9,27,38
66,57,59,19,81,1,24,28
37,19,95,45,30,1,38,91
12,78,39,73,37,25,43,93
42,46,50,100,61,100,14,22
53,44,15,68,25,10,17,34
71,94,36,37,92,71,71,47
7,38,51,84,41,95,66,51
85,92,6,3,97,7,79,54
65,96,25,81,87,68,47,100
13,76,5,10,14,10,90,77
65,4,90,77,2,31,86,75
44,1,95,72,32,50,88,75
56,17,59,85,100,89,96,80
37,93,11,20,50,15,37,64
66,100,1,38,37,39,96,53
88,42,31,93,91,15,87,8
10,49,52,31,86,68,86,27
48,34,91,37,46,14,92,52
38,16,4,17,33,87,32,11
35,9,89,89,53,67,78,80
22,65,9,60,64,20,1,34
76,91,3,19,60,75,25,14
55,64,47,45,50,3,87,79
43,29,92,59,19,45,56,72
82,43,48,44,78,2,78,5
98,94,81,46,98,6,8,28
56,54,26,80,10,35,55,16
73,96,63,20,19,75,15,92
