58,32
11,98
12,49
3,83
68,81
49,69
37,99
59,9
53,90
22,18
79,41
65,64
98,67
45,77
36,52
30,65
37,52
41,84
50,86
67,32
81,16
98,6
2,30
48,6
60,22
86,8
43,13
18,6
98,62
5,14
40,92
88,99
24,98
60,92
1,37
18,46
43,82
4,41
5,18
81,38
55,90
1,73
96,16
68,20
34,30
48,94
18,83
38,21
59,78
63,62
41,46
25,55
99,23
85,41
66,27
29,51
91,18
4,73
22,19
28,70
37,88
41,56
83,65
54,99
47,68
14,37
59,86
50,92
2,53
74,60
2,24
7,45
12,90
6,99
92,56
55,99
13,74
85,100
10,91
25,38
98,68
52,61
2,39
35,4
75,100
68,72
6,87
58,23
27,26
87,70
36,15
93,91
11,93
88,38
18,45
13,67
70,40
84,25
32,63
54,63
43,52
32,51
10,96
73,28
20,59
10,86
30,30
69,9
71,74
59,41
96,91
5,91
87,99
89,93
56,48
93,54
80,80
20,31
42,74
39,53
98,16
48,67
71,98
94,48
90,65
79,99
17,7
56,28
89,19
74,90
23,58
23,55
64,36
71,44
16,74
30,75
73,46
92,58
38,95
7,10
41,63
29,39
40,37
8,99
